string,pred
"1/3 cloves  garlic, crushed",garlic
1/3 club soda,club soda
1/3 club soda (optional),club soda
"1/3 club soda, chilled",club soda
1/3 crushed ice,crushed ice
1/3 cup ( grams) all-purpose flour,flour flour
1/3 cup ( grams) dark brown sugar,dark brown sugar
1/3 cup ( grams) fresh cranberries,cabbage
1/3 cup ( grams) molasses or treacle [updated weight],molasses
1/3 cup ( grams) plus  cup ( grams) granulated sugar,granulated sugar
1/3 cup ( grams) water,water
1/3 cup (74g) light brown sugar,light brown sugar
1/3 cup (80ml) rice vinegar,rice vinegar
1/3 cup (g) water or milk (see note),water water
1/3 cup aged rum,aged rum
1/3 cup all-purpose flour,flour flour
1/3 cup almond,almond
1/3 cup aperol,aperol
1/3 cup apple brandy,apple brandy
1/3 cup apple cider,apple cider
1/3 cup apple cider vinegar,apple cider vinegar
"1/3 cup apple cider, fresh",apple cider
1/3 cup apple schnapps,apple schnapps
1/3 cup applejack,applejack
"1/3 cup beef broth, chilled",beef broth
1/3 cup blanched almond,blanched almond
1/3 cup bourbon,bourbon
1/3 cup brandy,brandy
1/3 cup bread crumbs,bread crumbs
"1/3 cup brewed black tea, chilled",brewed black tea
1/3 cup brown sugar,brown sugar
1/3 cup brown sugar (optional),brown sugar
1/3 cup buttermilk,buttermilk
1/3 cup campari,campari
"1/3 cup cardamom pod, lightly crushed",cardamom pod
1/3 cup celery salt,celery salt
1/3 cup charred lemon juice,lemon juice
"1/3 cup cherry, pitted",cherry
1/3 cup chicken stock,chicken stock
1/3 cup chopped fresh basil leaves,basil
1/3 cup chopped pineapple,pineapple
"1/3 cup cilantro, fresh",cilantro
1/3 cup cocoa powder,cocoa powder
1/3 cup coconut milk,coconut milk
1/3 cup coffee bean,coffee bean
1/3 cup cognac,cognac
1/3 cup cold water,water
1/3 cup concord grape,concord grape
1/3 cup corn syrup,corn syrup
1/3 cup crème fraîche or sour cream,sour cream
1/3 cup cranberry,cranberry
1/3 cup cranberry sauce,cranberry sauce
"1/3 cup cranberry, fresh",cranberry
"1/3 cup cranberry, sliced",cranberry
1/3 cup creme de cassis,creme de cassis
1/3 cup crushed ice,crushed ice
1/3 cup crushed ice cube,ice cube
1/3 cup dark rum,dark rum
1/3 cup demerara sugar,demerara sugar
1/3 cup filtered water,water water
1/3 cup finely chopped yellow onion,yellow onion
1/3 cup fresh mint,mint
"1/3 cup fresh pineapple, cut into chunks",pineapple
"1/3 cup fresh strawberry, sliced",strawberry
1/3 cup freshly squeezed grapefruit juice,grapefruit juice
1/3 cup freshly squeezed lemon juice,lemon juice
1/3 cup gin,gin
1/3 cup ginger beer,ginger beer
"1/3 cup ginger, grated",ginger
"1/3 cup ginger, peeled and roughly chopped",ginger
1/3 cup granulated sugar,granulated sugar
1/3 cup grape,grape
"1/3 cup grapefruit juice, freshly squeezed",grapefruit juice
1/3 cup half and half,half and half
1/3 cup hazelnut,hazelnut
1/3 cup heavy cream,heavy cream
"1/3 cup heavy cream, well chilled",heavy cream
1/3 cup hoisin sauce,hoisin sauce
1/3 cup honey,honey
1/3 cup hulled pumpkin seeds (pepitas),tomato puree
1/3 cup ice cube,ice cube
1/3 cup ketchup,ketchup
1/3 cup kosher salt,kosher salt
"1/3 cup kosher salt, divided",kosher salt
1/3 cup lemon juice,lemon juice
"1/3 cup lemon juice, fresh",lemon juice
"1/3 cup lemon juice, freshly squeezed",lemon juice
1/3 cup lillet rose,lillet rose
1/3 cup lime juice,lime juice
"1/3 cup lime juice, freshly squeezed",lime juice
"1/3 cup loosely packed fresh parsley, chopped",parsley
1/3 cup low-sodium homemade or store-bought chicken stock,chicken stock
1/3 cup maple syrup,maple syrup
1/3 cup mezcal,mezcal
1/3 cup milk,milk
1/3 cup mint,mint
"1/3 cup mixed berries, frozen",mixed berries
1/3 cup oil,bourbon
"1/3 cup orange juice, fresh",orange juice
"1/3 cup orange juice, freshly squeezed",orange juice
"1/3 cup peach, frozen",peach
1/3 cup peanut oil,peanut butter
1/3 cup pear liqueur,pear liqueur
"1/3 cup pineapple, cut into chunks",pineapple
"1/3 cup pink grapefruit, fresh",pink grapefruit
"1/3 cup plus 6 teaspoons granulated sugar, divided",turbinado sugar
1/3 cup prepared horseradish,coho condensed
1/3 cup pumpkin puree,pumpkin puree
1/3 cup punt e mes,punt e mes
1/3 cup raisins,raisins
1/3 cup raspberry,raspberry
1/3 cup raw turbinado sugar,turbinado sugar
1/3 cup red wine,red wine
1/3 cup rice,rice
1/3 cup rosemary gin simple syrup,simple syrup
1/3 cup rum,rum
1/3 cup scotch,scotch
"1/3 cup seedless watermelon, cubed",watermelon
1/3 cup seltzer,seltzer
"1/3 cup seltzer, chilled",seltzer
"1/3 cup semisweet chocolate chip, chopped",chocolate chip
"1/3 cup semisweet chocolate chip, chopped (optional)",chocolate chip
1/3 cup simple syrup,simple syrup
1/3 cup small ice cube,ice cube
1/3 cup sparkling wine,sparkling wine
1/3 cup sugar,sugar
"1/3 cup tangerine juice, fresh squeezed",tangerine juice
"1/3 cup tangerine juice, fresh squeezed (optional)",tangerine juice
1/3 cup tequila,tequila
"1/3 cup tonic water, chilled",tonic water
1/3 cup triple sec,triple sec
1/3 cup turbinado sugar,turbinado sugar
1/3 cup unsweetened cocoa powder,cocoa powder
1/3 cup unsweetened cranberry juice,cranberry juice
1/3 cup vanilla ice cream,vanilla ice cream
1/3 cup Vietnamese fish sauce,fish sauce
1/3 cup vodka,vodka
1/3 cup water,water
1/3 cup water [edited],water
"1/3 cup water, boiling",water
"1/3 cup water, cold",water
"1/3 cup water, heated",water
1/3 cup white vinegar,white vinegar
1/3 cup whole milk,whole milk
1/3 cup whole milk (optional),whole milk
"1/3 cup whole milk, warmed to about ° F by microwaving for  seconds",whole milk
1/3 cup yellow chartreuse,yellow bell pepper
"1/3 cups (  ounces; g) dried field peas (cowpeas), preferably not black-eyed peas, rinsed, picked over for debris, and soaked overnight (see note)",peas peas
1/3 cups ( ml) heavy cream,heavy cream
1/3 cups ( ounces; g) uncooked parboiled long-grain white rice,white rice rice
1/3 cups (ml) heavy cream,heavy cream
1/3 cups (ml) whole milk,whole milk
1/3 cups all-purpose flour,flour flour
1/3 dash absinthe,absinthe
1/3 dash angostura bitters,angostura bitters
1/3 dash bitters,bitters
1/3 dash brandy,brandy
1/3 dash burlesque bitters,bitters bitters
1/3 dash cayenne pepper,cayenne pepper
1/3 dash celery bitters,celery bitters
1/3 dash chocolate bitters,chocolate bitters
1/3 dash citrus bitters,giblet cilantro
1/3 dash cointreau,cointreau
1/3 dash curacao,curacao
1/3 dash fernet branca,fernet branca
1/3 dash fino sherry,fino sherry
1/3 dash grand marnier,grand marnier
1/3 dash grapefruit bitters,grapefruit bitters
1/3 dash green chartreuse,green chartreuse
1/3 dash grenadine,grenadine
1/3 dash lemon bitters,orange bitters
1/3 dash lemon juice,lemon juice
"1/3 dash lemon juice, fresh",lemon juice
1/3 dash maraschino liqueur,maraschino liqueur
1/3 dash mole bitters,bitters bitters
1/3 dash orange,orange
1/3 dash orange bitters,orange bitters
1/3 dash peychauds bitters,peychauds bitters
1/3 dash pomegranate,pomegranate
1/3 dash pomegranate bitters,concord bitters
1/3 dash rose water,rose water
1/3 dash simple syrup,simple syrup
1/3 dash vanilla extract,vanilla extract
1/3 drop  percent saline,saline
1/3 drop orange bitters,orange bitters
1/3 drop orange blossom water,orange blossom water
1/3 drop pernod,pernod
1/3 drop pernod (optional),pernod
1/3 drop water,water
1/3 earl grey tea bag,earl grey tea bag
1/3 egg,egg
1/3 egg white,egg white
"1/3 egg white, fresh",egg white
1/3 egg yolk,egg yolk
1/3 floz chilled orange juice,orange juice
1/3 floz chilled peach juice,peach juice
1/3 floz chilled prosecco,prosecco
1/3 floz chilled prosecco (optional),prosecco
1/3 floz orange juice,orange juice
1/3 floz peach schnapps,peach schnapps
1/3 floz vodka,vodka
1/3 fluid ounces ( cups) half-and-half,nutmeg
1/3 fluid ounces heavy cream,heavy cream
1/3 fresh pear,pear
1/3 ft cheesecloth,cheesecloth
1/3 ginger ale,ginger ale
1/3 grapefruit twist,grapefruit twist
1/3 green olive,green olive
1/3 head cauliflower,cauliflower
1/3 ice cube,ice cube
"1/3 ice cube, cracked",ice cube
1/3 in cinnamon stick,cinnamon stick
"1/3 in fresh pasta, fresh",fresh
1/3 in ginger,ginger
"1/3 in ginger, peeled",ginger
"1/3 in medium pineapple, peeled, cored, and cubed",pineapple
1/3 in orange,orange
1/3 in orange zest,orange zest
1/3 in pineapple,pineapple
"1/3 jalapeno, sliced",jalapeno
"1/3 jalapeno, with seeds",jalapeno
"1/3 kiwi, peeled",kiwi
1/3 kosher salt,kosher salt
1/3 large egg,egg
1/3 large egg white,egg white
1/3 large egg yolk,egg yolk
1/3 large egg yolks,egg yolks
1/3 large egg yolks (g),egg yolks
1/3 large egg yolks (optional),egg yolks
1/3 large eggs,eggs
1/3 large ice cube,ice cube
1/3 large lime,lime
1/3 large mint,mint
1/3 large orange twist,orange twist
"1/3 large peach, thinly sliced",peach
"1/3 large sweet potatoes, peeled and cubed",sweet potatoes
"1/3 large yellow onion, thinly sliced",yellow onion
"1/3 lb bread, fresh",bread
"1/3 lb cucumber, peeled",cucumber
"1/3 lb ginger, fresh",ginger
1/3 lb ice cube,ice cube
"1/3 lb lemon, room temperature",lemon
"1/3 lb strawberry, trimmed",strawberry
1/3 lb tomato,tomato
1/3 leaf basil,basil
"1/3 leaf basil, fresh",basil
1/3 leaf cilantro,cilantro
1/3 leaf fresh mint,mint
1/3 leaf fresh mint (optional),mint
1/3 leaf fresh sage,sage
1/3 leaf lime,lime
1/3 leaf mint,mint
"1/3 leaf mint, fresh",mint
1/3 leaf pineapple,pineapple
1/3 leaf sage,sage
"1/3 leaf sage, fresh",sage
"1/3 leaf tarragon, fresh",tarragon
"1/3 leek, white and light green parts only, cleaned and sliced into thin rings",white
1/3 lemon,lemon
1/3 lemon twist,lemon twist
"1/3 lemon twist, optional",lemon twist
1/3 lemon zest,lemon zest
"1/3 lemon zest, freshly grated",lemon zest
"1/3 lemon, cut into rounds",lemon
"1/3 lemon, cut into wheels",lemon
"1/3 lemon, halved",lemon
"1/3 lemon, thinly sliced",lemon
"1/3 lemon, zested",lemon
1/3 light beer,light rum
1/3 lime,lime
"1/3 lime wedge, plus  lime wheels for garnish",lime lime
1/3 lime zest,lime zest
"1/3 lime, quartered",lime
1/3 maraschino cherry,maraschino cherry
"1/3 maraschino cherry, optional",maraschino cherry
"1/3 medium (-ounce; g) yellow onion, peeled, quartered, and root end trimmed",yellow onion
"1/3 medium beet, grated",beet
"1/3 medium cloves garlic, minced",garlic
"1/3 medium cucumber, sliced into "" rounds",cucumber
"1/3 medium grapefruit, zested",grapefruit
"1/3 medium lemon, cut into "" wheels",lemon
"1/3 medium lemon, juiced",lemon
"1/3 medium lemon, juiced (optional)",lemon
"1/3 medium lemon, zested",lemon
1/3 medium lime,lime
"1/3 medium navel orange, cut into wheels",navel orange
1/3 medium orange,orange
"1/3 medium pineapple, cut into "" cubes",pineapple
"1/3 minneola orange, finely zested",minneola orange
1/3 mint,mint
1/3 nectarine,nectarine
1/3 NO Cartridges,cinnamon
1/3 nutmeg,nutmeg
"1/3 nutmeg, freshly grated",nutmeg
1/3 olive,olive
1/3 olive (optional),olive
1/3 orange,orange
1/3 orange (optional),orange
1/3 orange twist,orange twist
"1/3 orange twist, optional",orange twist
"1/3 orange, quartered",orange
"1/3 orange, sliced",orange
"1/3 orange, zested",orange
"1/3 ounces ( grams) white chocolate chips, or chopped white chocolate from a bar",white white
"1/3 ounces (g) all-purpose flour, sifted",flour flour
"1/3 ounces (g) finely grated Gruyère cheese, plus more for sprinkling",cheese cheese
1/3 ounces (g) finely grated Gruyère or Comté cheese,potato tortillas
1/3 ounces (g) finely grated Parmigiano-Reggiano cheese,bread cheese
1/3 ounces (g) pullman or brioche bread (about one-third to one-half of a loaf),chocolate chocolate
1/3 ounces (ml) Cointreau,cointreau
1/3 ounces (ml) fresh juice from  limes,limes
1/3 ounces (ml) high-quality blanco tequila (see note),blanco tequila
1/3 ounces grated Parmesan,parmesan
1/3 oz  rum,rum
1/3 oz absinthe,absinthe
1/3 oz agave,agave
1/3 oz agave nectar,agave nectar
1/3 oz aged rum,aged rum
1/3 oz ale,ale
1/3 oz allspice,allspice
1/3 oz allspice bitters,peychauds
1/3 oz amaretto,amaretto
1/3 oz amaro,amaro
1/3 oz amaro nonino,amaro nonino
1/3 oz amaro sfumato,amaro sfumato
1/3 oz amber rum,amber rum
1/3 oz amer picon,amer picon
1/3 oz angostura bitters,angostura bitters
1/3 oz aperol,aperol
1/3 oz apple brandy,apple brandy
1/3 oz apple brandy (optional),apple brandy
1/3 oz apple cider,apple cider
"1/3 oz apple cider, chilled",apple cider
"1/3 oz apple cider, fresh",apple cider
1/3 oz apple simple syrup,apple simple syrup
1/3 oz applejack,applejack
1/3 oz apricot,apricot
1/3 oz apricot brandy,apricot brandy
1/3 oz apricot liqueur,apricot liqueur
1/3 oz aquavit,aquavit
1/3 oz averna,averna
1/3 oz bacon flavored whiskey,whiskey
1/3 oz barolo chinato,barolo chinato
1/3 oz basil simple syrup,simple syrup
1/3 oz becherovka,becherovka
1/3 oz beet juice,beet juice
1/3 oz benedictine,benedictine
"1/3 oz black coffee, hot",black sea
"1/3 oz black peppercorn simple syrup, chilled",lime simple syrup
1/3 oz blanco tequila,blanco tequila
1/3 oz blood orange juice,blood orange juice
"1/3 oz blood orange juice, fresh",blood orange juice
1/3 oz bonal,bonal
1/3 oz bornholmer bitter,bornholmer bitter
1/3 oz bourbon,bourbon
1/3 oz brandy,brandy
1/3 oz brewed chamomile tea,brewed chamomile tea
1/3 oz brut sparkling wine,sparkling wine
1/3 oz cachaca,cachaca
1/3 oz calvados,calvados
1/3 oz campari,campari
1/3 oz caperitif,caperitif
1/3 oz cardamom pod,cardamom pod
1/3 oz cardamom simple syrup,chamomile bags
1/3 oz cardamom-infused bourbon,bourbon
1/3 oz carrot juice,carrot juice
1/3 oz cava,cava
"1/3 oz cava, chilled",cava
1/3 oz celery juice,celery juice
"1/3 oz celery juice, fresh",celery juice
"1/3 oz celery, sliced",celery
1/3 oz champagne,champagne
1/3 oz champagne acid,champagne acid
"1/3 oz champagne, approximately",champagne
"1/3 oz champagne, chilled",champagne
1/3 oz cherry heering,cherry heering
1/3 oz cherry juice,cherry juice
1/3 oz cherry simple syrup,ginger simple syrup
1/3 oz chicory-infused rye whiskey,rye whiskey powder
1/3 oz chilled champagne,champagne
1/3 oz chilled ginger beer,ginger beer
1/3 oz chocolate liqueur,chocolate liqueur
1/3 oz cinnamon simple syrup,chocolate syrup syrup
1/3 oz citrus simple syrup,rock simple syrup
1/3 oz citrus vodka,citrus vodka
1/3 oz clamato,clamato
1/3 oz club soda,club soda
"1/3 oz club soda, chilled",club soda
"1/3 oz club soda, cold",club soda
1/3 oz cocchi americano,cocchi americano
"1/3 oz cocchi americano, chilled",cocchi americano
1/3 oz coconut milk,coconut milk
1/3 oz coconut milk (optional),coconut milk
1/3 oz coconut seltzer,yuzu
1/3 oz coconut water,coconut water
"1/3 oz coconut water, chilled",coconut water
1/3 oz coffee,coffee
"1/3 oz coffee, hot",coffee
1/3 oz cognac,cognac
1/3 oz cointreau,cointreau
1/3 oz cola simple syrup,scotch syrup
1/3 oz cold water,water
"1/3 oz cool, filtered water",water water
1/3 oz cranberry juice,cranberry juice
1/3 oz cranberry simple syrup,ginger simple syrup
1/3 oz creme de cacao,creme de cacao
1/3 oz creme de cassis,creme de cassis
1/3 oz creme de menthe,creme de menthe
1/3 oz crushed ice,crushed ice
"1/3 oz cucumber juice, fresh",cucumber juice
1/3 oz curacao,curacao
1/3 oz cynar,cynar
1/3 oz dark rum,dark rum
1/3 oz demerara simple syrup,simple simple syrup
1/3 oz drambuie,drambuie
1/3 oz drinking vinegar,vinegar vinegar
1/3 oz dry curacao,dry curacao
1/3 oz dry gin,dry gin
"1/3 oz dry lambrusco, chilled",citrus
1/3 oz dry orange curacao,key snap curacao
1/3 oz dry prosecco,plantain
1/3 oz dry sherry,dry sherry
1/3 oz dry sparkling wine,sparkling wine
"1/3 oz dry sparkling wine, chilled",sparkling wine
1/3 oz dry vermouth,dry vermouth
"1/3 oz dry vermouth, chilled",dry vermouth
1/3 oz dry white wine,cooked wine rice
1/3 oz dubonnet,dubonnet
1/3 oz dubonnet rouge,dubonnet rouge
1/3 oz elderflower liqueur,elderflower liqueur
1/3 oz evaporated milk,evaporated milk
1/3 oz falernum,falernum
1/3 oz fernet branca,fernet branca
1/3 oz fino sherry,fino sherry
1/3 oz frangelico,frangelico
1/3 oz fresh egg white,egg white
1/3 oz fresh pomegranate juice,pomegranate juice
1/3 oz freshly squeezed grapefruit juice,grapefruit juice
1/3 oz freshly squeezed lemon juice,lemon juice
1/3 oz freshly squeezed lime juice,lime juice
1/3 oz freshly squeezed orange juice,orange juice
1/3 oz freshly squeezed orange juice (optional),orange juice
1/3 oz galliano,galliano
1/3 oz genever,genever
1/3 oz gin,gin
"1/3 oz ginger ale, chilled",ginger ale
1/3 oz ginger beer,ginger beer
"1/3 oz ginger beer, room temperature",ginger beer
1/3 oz ginger juice,ginger juice
"1/3 oz ginger juice, fresh",ginger juice
"1/3 oz ginger juice, fresh (optional)",ginger juice
1/3 oz ginger liqueur,ginger liqueur
1/3 oz ginger simple syrup,ginger simple syrup
"1/3 oz ginger, peeled",ginger
1/3 oz grade B maple syrup,maple syrup
1/3 oz gran classico,gran classico
1/3 oz grand marnier,grand marnier
1/3 oz granny smith apple cider,sparkling apple cider
1/3 oz granulated sugar,granulated sugar
1/3 oz grape simple syrup,ginger simple
1/3 oz grapefruit juice,grapefruit juice
"1/3 oz grapefruit juice, fresh squeezed",grapefruit juice
"1/3 oz grapefruit juice, freshly squeezed",grapefruit juice
1/3 oz grapefruit liqueur,grapefruit liqueur
1/3 oz grapefruit radler,baguettes
1/3 oz grapefruit seltzer,yuzu
1/3 oz grapefruit simple syrup,ginger simple
1/3 oz grapefruit soda,grapefruit soda
1/3 oz green chartreuse,green chartreuse
1/3 oz grenadine,grenadine
1/3 oz half and half,half and half
1/3 oz hard cider,hard cider
"1/3 oz hard cider, chilled",hard cider
1/3 oz heavy cream,heavy cream
1/3 oz high-proof bourbon,bourbon
1/3 oz high-proof bourbon (optional),bourbon
1/3 oz honey,honey
1/3 oz honey liqueur,honey liqueur
1/3 oz honey simple syrup,ginger syrup
1/3 oz honey syrup,honey syrup
1/3 oz horseradish simple syrup,malt syrup
"1/3 oz hot, freshly brewed black coffee",black sea bass
1/3 oz ice cube,ice cube
1/3 oz ice cube (optional),ice cube
1/3 oz irish whiskey,whiskey whiskey
1/3 oz jalapeno tequila,blanco tequila
1/3 oz Jameson whiskey,whiskey whiskey
"1/3 oz kale juice, fresh",kale juice
"1/3 oz key lime juice, freshly squeezed",key lime juice
"1/3 oz large lime juice, fresh",lime juice
1/3 oz lavender simple syrup,simple syrup
1/3 oz lemon,lemon
1/3 oz lemon juice,lemon juice
"1/3 oz lemon juice, fresh",lemon juice
"1/3 oz lemon juice, fresh squeezed",lemon juice
"1/3 oz lemon juice, freshly squeezed",lemon juice
1/3 oz lemon simple syrup,poppy simple
"1/3 oz lemon, fresh",lemon
"1/3 oz lemon, freshly squeezed",lemon
1/3 oz light rum,light rum
1/3 oz lillet blanc,lillet blanc
1/3 oz lillet blonde,lillet blonde
1/3 oz lillet rouge,lillet rouge
1/3 oz lime juice,lime juice
"1/3 oz lime juice, fresh",lime juice
"1/3 oz lime juice, fresh squeezed",lime juice
"1/3 oz lime juice, freshly squeezed",lime juice
"1/3 oz lime, fresh",lime
1/3 oz limoncello,limoncello
1/3 oz madeira wine,madeira wine
1/3 oz mango schnapps,mango schnapps
"1/3 oz mango, diced",mango
1/3 oz maple syrup,maple syrup
1/3 oz maraschino liqueur,maraschino liqueur
1/3 oz medium grapefruit juice,grapefruit juice
1/3 oz mezcal,mezcal
1/3 oz mild fernet,fernet
1/3 oz mint simple syrup,simple syrup
1/3 oz mint-flavored simple syrup,simple syrup
1/3 oz molasses,molasses
1/3 oz molasses simple syrup,simple syrup
1/3 oz montenegro amaro,montenegro amaro
1/3 oz old tom gin,old tom gin
1/3 oz orange curacao,orange curacao
1/3 oz orange ginger simple syrup,ginger simple syrup
"1/3 oz orange juice, fresh",orange juice
"1/3 oz orange juice, fresh squeezed",orange juice
"1/3 oz orange juice, freshly squeezed",orange juice
1/3 oz orange marmalade,orange marmalade
1/3 oz orgeat,orgeat
1/3 oz passionfruit simple syrup,simple syrup
1/3 oz peach liqueur,peach liqueur
1/3 oz pear brandy,pear brandy
1/3 oz peated scotch,scotch
1/3 oz pepper vodka,pepper vodka
1/3 oz pernod,pernod
1/3 oz pimms,pimms
1/3 oz pine liqueur,pine liqueur
1/3 oz pineapple,pineapple
1/3 oz pineapple juice,pineapple juice
"1/3 oz pineapple juice, fresh",pineapple juice
"1/3 oz pineapple juice, freshly squeezed",pineapple juice
1/3 oz pineapple simple syrup,white simple syrup
1/3 oz pineapple simple syrup (optional),white simple syrup
"1/3 oz pineapple, diced",pineapple
"1/3 oz pineapple, diced (optional)",pineapple
"1/3 oz pink grapefruit juice, fresh",pink grapefruit juice
"1/3 oz pink grapefruit juice, fresh (optional)",pink grapefruit juice
"1/3 oz pink grapefruit juice, freshly squeezed",pink grapefruit juice
"1/3 oz pink grapefruit, fresh",pink grapefruit
1/3 oz pisco,pisco
1/3 oz pistachio liqueur,pistachio liqueur
1/3 oz pomegranate juice,pomegranate juice
"1/3 oz pomegranate juice, fresh",pomegranate juice
1/3 oz pomegranate molasses,pomegranate molasses
1/3 oz port,port
1/3 oz prepared coffee-flavored simple syrup,barley simple syrup
1/3 oz prepared spiced apple simple syrup,barley simple syrup
1/3 oz prepared spiced simple syrup,rock simple syrup
1/3 oz prosecco,prosecco
"1/3 oz prosecco, chilled",prosecco
1/3 oz punt e mes,punt e mes
1/3 oz pureed concord grape,concord grape
1/3 oz raw sugar,sugar
"1/3 oz red grapefruit, fresh",red grapefruit
1/3 oz red wine,red wine
1/3 oz reposado tequila,reposado tequila
1/3 oz rich simple syrup,simple syrup
1/3 oz rooibos simple syrup,narrow malt syrup
1/3 oz rose champagne,rose petal
1/3 oz rose water,rose water
1/3 oz rosemary simple syrup,simple syrup
1/3 oz ruby port,ruby port
1/3 oz rum,rum
1/3 oz rye whiskey,rye whiskey
1/3 oz sage simple syrup,simple syrup
1/3 oz saint germain,saint germain
1/3 oz scotch,scotch
1/3 oz seltzer,seltzer
"1/3 oz seltzer, chilled",seltzer
1/3 oz semisweet chocolate chip,chocolate chip
1/3 oz sherry,sherry
1/3 oz simple syrup,simple syrup
"1/3 oz simple syrup, made with honey instead of sugar",simple syrup
"1/3 oz simple syrup, preferably made with turbinado sugar",simple syrup
1/3 oz single-malt scotch,scotch
"1/3 oz smoked brewed black tea, such as lapsang souchong",brewed black tea
1/3 oz smoky scotch,scotch
1/3 oz sparkling wine,sparkling wine
"1/3 oz sparkling wine, chilled",sparkling wine
"1/3 oz sparkling wine, preferable moscato",sparkling wine
1/3 oz spiced rum,spiced rum
1/3 oz spiced rum (optional),spiced rum
1/3 oz strawberry simple syrup,chia syrup
"1/3 oz strawberry, sliced",strawberry
1/3 oz strong black coffee,black coffee
1/3 oz sugar,sugar
1/3 oz suze,suze
"1/3 oz sweet sparkling wine, chilled",sparkling wine
1/3 oz sweet vermouth,sweet vermouth
1/3 oz sweetened condensed milk,sweetened condensed milk
"1/3 oz tangerine juice, freshly squeezed",tangerine juice
1/3 oz tawny port,port
1/3 oz tequila,tequila
1/3 oz the king's ginger,ginger ginger
1/3 oz tomato juice,tomato juice
1/3 oz tonic water,tonic water
1/3 oz triple sec,triple sec
1/3 oz unfiltered apple cider,apple cider
1/3 oz unsalted butter,unsalted butter
1/3 oz unsweetened cranberry juice,cranberry juice
1/3 oz unsweetened pomegranate juice,pomegranate juice
1/3 oz vanilla,vanilla
1/3 oz vanilla simple syrup,chia simple syrup
1/3 oz vermouth,vermouth
1/3 oz vodka,vodka
1/3 oz walnut liqueur,walnut liqueur
1/3 oz water,water
"1/3 oz water, boiling",water
"1/3 oz water, hot",water
1/3 oz whipped cream,whipped cream
1/3 oz whiskey,whiskey
1/3 oz white balsamic vinegar,white balsamic vinegar
1/3 oz white rum,white rum
1/3 oz white vermouth,white vermouth
1/3 oz whole milk,whole milk
1/3 oz yellow chartreuse,yellow bell pepper
1/3 peach,peach
"1/3 peach, cubed",peach
"1/3 persian cucumber, cut into a thin wheel",persian cucumber
1/3 peychauds bitters,peychauds bitters
1/3 piece candied ginger,candied ginger
1/3 piece orange,orange
1/3 pinch brown sugar,brown sugar
"1/3 pinch cardamom, ground",cardamom
1/3 pinch chile powder,chile powder
1/3 pinch chipotle chile powder,ancho chile powder
1/3 pinch kosher salt,kosher salt
1/3 pinch salt,salt
1/3 pinch smoked salt,salt
1/3 pinch tiny kosher salt,kosher salt
1/3 pod green cardamom,green cardamom
"1/3 pod vanilla bean, scraped",vanilla bean
"1/3 pomegranate seed, fresh",pomegranate seed
1/3 pound ground pork,ground pork
"1/3 pounds (about kg) russet or Yukon Gold potatoes, peeled and cut into quarters, sixths, or eighths, depending on size (see note)",yukon gold potatoes
1/3 pounds russet potatoes,russet potatoes
1/3 pounds russet potatoes (about  medium),russet potatoes
"1/3 prosecco, chilled",prosecco
1/3 pt half and half,half and half
1/3 pt heavy cream,heavy cream
"1/3 pt strawberry, diced",strawberry
1/3 pt whole milk,whole milk
1/3 qt ice cube,ice cube
1/3 qt raw strawberry,strawberry
1/3 qt seltzer,seltzer
1/3 qt simple syrup,simple syrup
1/3 qt simple syrup (optional),simple syrup
"1/3 qt strawberry, split",strawberry
1/3 qt water,water
"1/3 qt water, chilled",water
"1/3 raspberry, fresh",raspberry
"1/3 raspberry, fresh (optional)",raspberry
1/3 red grape,red grape
1/3 ripe peach,peach
1/3 rooibos tea bag,rooibos tea bag
1/3 salt,salt
1/3 salt (optional),salt
"1/3 seltzer, chilled",seltzer
1/3 slice apple juice,apple juice
1/3 slice cucumber,cucumber
"1/3 slice cucumber, fresh",cucumber
"1/3 slice cucumber, peeled",cucumber
"1/3 slice dried pear, fresh",pear
1/3 slice green bell pepper,green bell pepper
1/3 slice lemon,lemon
1/3 slice lemon zest,lemon zest
1/3 slice lime,lime
1/3 slice mango,mango
1/3 slice orange,orange
1/3 slice orange juice,orange juice
1/3 slice peach,peach
1/3 slice pineapple,pineapple
1/3 slice small orange,orange
1/3 slice strawberry,strawberry
"1/3 small lime, zested",lime
1/3 smoked ham hock (about   pounds; g),ham hock
1/3 sour cherry,sour cherry
1/3 sparkling apple cider,sparkling apple cider
1/3 splash cherry heering,cherry heering
1/3 splash gin,gin
1/3 sprig cilantro,cilantro
1/3 sprig fresh mint,mint
"1/3 sprig fresh mint, leaves only",mint
1/3 sprig marjoram,marjoram
1/3 sprig mint,mint
"1/3 sprig mint, fresh",mint
1/3 sprig rosemary,rosemary
"1/3 sprig rosemary, fresh",rosemary
"1/3 sprig rosemary, fresh (optional)",rosemary
1/3 sprig tarragon,tarragon
1/3 sprig thyme,thyme
1/3 sprig thyme (optional),thyme
"1/3 sprig thyme, fresh",thyme
1/3 stalk lemongrass,lemongrass
"1/3 stalk lemongrass, sliced",lemongrass
1/3 star crushed anise,anise
1/3 star whole anise,anise
1/3 stick celery,celery
1/3 stick cinnamon,cinnamon
1/3 strawberry,strawberry
1/3 strawberry (optional),strawberry
"1/3 strawberry, halved",strawberry
1/3 strip lemon zest,lemon zest
1/3 sugar cube,sugar cube
1/3 superfine sugar,superfine sugar
"1/3 tablespoon coarse salt, for glass rims",canned sablefish
